Id,Label,timeset,lat,lng,provinz,background_map_node
"Maximian, Constantius I., Galerius, Severus II.,""Maximian, Constantius I., Galerius, Severus II."",""<[306.0, 307.0]>"",45.2751,9.1125,Mailand / Mediolanum,"
"Maximinus Thrax,Maximinus Thrax,""<[236.0, 238.0]>"",50,8.2711,Mainz / Mogontiacum,"
"Maximinus Thrax, Maximus,""Maximinus Thrax, Maximus"",""<[235.0, 238.0]>"",41.9028,12.4964,Roma,"
"Nero,Nero,""<[54.0, 68.0]>"",41.9028,12.4964,Roma,"
"Nerva,Nerva,""<[97.0, 97.0]>"",41.9028,12.4964,Roma,"
"Numerian,Numerian,""<[282.0, 283.0]>"",41.9028,12.4964,Roma,"
"Philippus Arabs,Philippus Arabs,""<[244.0, 249.0]>"",41.9028,12.4964,Roma,"
"Postumus,Postumus,""<[267.0, 268.0]>"",41.9028,12.4964,Roma,"
"Septimus Severus,Septimus Severus,""<[193.0, 211.0]>"",41.9028,12.4964,Roma,"
"Septimus Severus, Caracalla,""Septimus Severus, Caracalla"",""<[193.0, 211.0]>"",41.9028,12.4964,Roma,"
"Septimus Severus, Caracalla, Geta,""Septimus Severus, Caracalla, Geta"",""<[197.0, 211.0]>"",41.9028,12.4964,Roma,"
"Septimus Severus, Caracalla, Geta, Macrinus, Elagabal, Severus Alexander, Maximinus Thrax, Gordianus I./II./III., Pupienus, Balbinus, Philippus Arabs, Decius, Trebonianus Gallus, Aemilius Aemilianus, Valerian,""Septimus Severus, Caracalla, Geta, Macrinus, Elagabal, Severus Alexander, Maximinus Thrax, Gordianus I./II./III., Pupienus, Balbinus, Philippus Arabs, Decius, Trebonianus Gallus, Aemilius Aemilianus, Valerian"",""<[191.0, 260.0]>"",41.9028,12.4964,Roma,"
"Septimus Severus, Caracalla, Geta, Macrinus, Elagabal, Severus Alexander, Maximinus Thrax, Gordianus I./II./III., Pupienus, Balbinus, Philippus Arabs, Decius, Trebonianus Gallus, Aemilius Aemilianus, Valerian, Gallienus, Claudius II., Quintillus, Aurelian, Tacitus, Florianus, Probus, Carus, Numerian, Carinus,""Septimus Severus, Caracalla, Geta, Macrinus, Elagabal, Severus Alexander, Maximinus Thrax, Gordianus I./II./III., Pupienus, Balbinus, Philippus Arabs, Decius, Trebonianus Gallus, Aemilius Aemilianus, Valerian, Gallienus, Claudius II., Quintillus, Aurelian, Tacitus, Florianus, Probus, Carus, Numerian, Carinus"",""<[201.0, 300.0]>"",41.9028,12.4964,Roma,"
"Severus Alexander,Severus Alexander,""<[222.0, 235.0]>"",41.9028,12.4964,Roma,"
"Severus Alexander, Iulia Mamaea,""Severus Alexander, Iulia Mamaea"",""<[222.0, 235.0]>"",41.9028,12.4964,Roma,"
"Tacitus,Tacitus,""<[275.0, 276.0]>"",41.9028,12.4964,Roma,"
"Tetricus I.,Tetricus I.,""<[271.0, 274.0]>"",41.9028,12.4964,Roma,"
"Theodosius I., Arcadius, Eugenius,""Theodosius I., Arcadius, Eugenius"",""<[392.0, 393.0]>"",41.001,28.583,Konstantinopel,"
"Tiberius,Tiberius,""<[14.0, 37.0]>"",41.9028,12.4964,Roma,"
"Tiberius, Caligula, Claudius,""Tiberius, Caligula, Claudius"",""<[14.0, 54.0]>"",41.9028,12.4964,Roma,"
"Titus,Titus,""<[79.0, 81.0]>"",41.9028,12.4964,Roma,"
"Traian,Traian,""<[97.0, 130.0]>"",41.9028,12.4964,Roma,"
"Traian, Hadrian, Antoninus Pius,""Traian, Hadrian, Antoninus Pius"",""<[101.0, 150.0]>"",41.9028,12.4964,Roma,"
"Trebonianus Gallus, Volusianus,""Trebonianus Gallus, Volusianus"",""<[251.0, 253.0]>"",41.9028,12.4964,Roma,"
"Valerian, Gallienus,""Valerian, Gallienus"",""<[253.0, 260.0]>"",41.9028,12.4964,Roma,"
"Valentinian,Valentinian,""<[364.0, 375.0]>"",41.9028,12.4964,Roma,"
"Valentinian, Valens, Gratian,""Valentinian, Valens, Gratian"",""<[371.0, 371.0]>"",41.9028,12.4964,Roma,"
"Valerian,Valerian,""<[253.0, 260.0]>"",41.9028,12.4964,Roma,"
